date,year,month,day,cluster_i,cluster_j,node_index
1998-06-21,1998,6,21,1,2,4
1998-06-22,1998,6,22,1,2,4
1998-06-23,1998,6,23,1,2,4
1998-06-24,1998,6,24,1,2,4
1998-06-25,1998,6,25,1,2,4
1998-06-26,1998,6,26,1,2,4
1998-06-27,1998,6,27,1,2,4
1998-06-28,1998,6,28,1,2,4
1998-06-29,1998,6,29,1,2,4
1998-06-30,1998,6,30,1,2,4
1998-07-01,1998,7,1,1,1,1
1998-07-02,1998,7,2,1,2,4
1998-07-03,1998,7,3,1,2,4
1998-07-04,1998,7,4,1,2,4
1998-07-05,1998,7,5,1,2,4
1998-07-06,1998,7,6,1,2,4
1998-07-07,1998,7,7,1,2,4
1998-07-08,1998,7,8,1,2,4
1998-07-09,1998,7,9,1,2,4
1998-07-10,1998,7,10,1,2,4
1998-07-11,1998,7,11,1,2,4
1998-07-12,1998,7,12,1,2,4
1998-07-13,1998,7,13,1,2,4
1998-07-14,1998,7,14,1,2,4
1998-07-15,1998,7,15,1,2,4
1998-07-16,1998,7,16,1,2,4
1998-07-17,1998,7,17,1,2,4
1998-07-18,1998,7,18,1,2,4
